"","county","age","tp10","tp11","tp12","tp13","Cindy2010","Cindy2011","Cindy2012","Cindy2013","diff10","diff11","diff12","diff13"
"1",1,0,7307.01646796331,6925.59446602135,6974.81511821262,7024.26314573975,7501.239837,7320.231997,6998.696996,7252.164647,-194.22336903669,-394.637530978653,-23.8818777873757,-227.901501260245
"2",1,1,7371.01661220166,7259.56534681051,7296.97440654441,7332.23699176911,7839.014701,7322.999576,7338.15682,7022.97975,-467.998088798337,-63.4342291894927,-41.1824134555891,309.257241769114
"3",1,10,7142.0160960988,7349.65130864815,7520.02670066387,7710.5053106747,6822.534952,7284.651888,7362.112646,7615.825363,319.481144098803,64.9994206481542,157.914054663867,94.6799476747019
"4",1,11,6934.01562732415,7225.53168777808,7379.67122803247,7551.32863444236,6678.817187,7164.687469,7315.852559,7403.446717,255.198440324154,60.8442187780756,63.8186690324701,147.881917442357
"5",1,12,6635.01495346059,6728.18680707867,6891.30731007938,7074.03348468958,6567.779269,6960.473401,7199.236489,7360.102098,67.2356844605938,-232.286593921326,-307.929178920622,-286.068613310417
"6",1,13,6434.01450046201,6706.01510817908,6842.06396185529,6993.19295023594,6146.30598,6663.171031,6996.569162,7244.770594,287.708520462013,42.8440771790829,-154.505200144714,-251.577643764057
"7",1,14,6304.01420747786,6495.57077433664,6618.21362392544,6753.92732234333,6196.973891,6460.787803,6697.842623,7040.272451,107.040316477858,34.7829713366382,-79.6289990745581,-286.345128656675
"8",1,15,6212.01400013522,6363.35236515826,6483.56903592348,6616.60230444535,6122.38741,6332.595067,6497.033961,6742.901503,89.6265901352235,30.7572981582625,-13.4649250765224,-126.29919855465
"9",1,16,6123.01379955376,6263.34032457669,6372.7047162715,6493.17742979792,6082.340897,6253.904639,6381.962458,6555.106847,40.6729025537625,9.4356855766855,-9.25774172849924,-61.9294172020827
"10",1,17,6229.01403844854,6169.8149835582,6272.80423973425,6385.93870404718,6108.339761,6186.031927,6324.246813,6460.943775,120.674277448536,-16.216943441802,-51.4425732657528,-75.0050709528214
"11",1,18,5978.01347276374,6247.86739569499,6317.10419547154,6390.72102380977,6248.475303,6300.890358,6266.48179,6414.026535,-270.461830236257,-53.0229623050109,50.6224054715385,-23.3055111902304
"12",1,19,5667.01277185549,5985.35729983309,6038.2157788017,6093.00579399241,6291.497891,6040.929496,6373.60394,6350.371704,-624.485119144509,-55.5721961669115,-335.388161198304,-257.365910007586
"13",1,2,7566.0170516779,7355.98023107093,7390.74102085952,7422.79807221696,8071.565866,7411.287902,7367.574017,7389.459882,-505.548814322103,-55.3076709290681,23.167003859523,33.3381902169622
"14",1,20,5599.01261860224,5678.93780856161,5738.13314232767,5800.68143116752,6131.182292,5720.286672,6106.770921,6452.066451,-532.169673397759,-41.3488634383857,-368.637778672334,-651.385019832484
"15",1,21,5587.01259155755,5617.97462084276,5692.07327693666,5772.10128291159,6036.145666,5649.031231,5785.290607,6185.706553,-449.133074442451,-31.0566101572358,-93.217330063344,-413.605270088409
"16",1,22,5774.01301300399,5634.20455687173,5740.49643721907,5858.11115077329,5919.308394,5640.674225,5718.728473,5870.113455,-145.29538099601,-6.46966812827122,21.7679642190669,-12.0023042267103
"17",1,23,6212.01400013522,5863.86173183079,6023.38124541299,6202.90538689152,5826.395939,5835.828663,5719.5931,5813.415213,385.618061135224,28.0330688307904,303.788145412987,389.490173891518
"18",1,24,6560.01478443127,6330.41647119965,6525.52821692243,6746.08623386443,5842.078309,6281.385821,5923.959241,5825.034577,717.936475431273,49.0306501996456,601.568975922426,921.05165686443
"19",1,25,6775.01526898199,6709.85427140048,6952.54916976473,7228.24913385658,5896.681832,6629.756643,6371.50705,6033.528213,878.333436981993,80.0976284004782,581.042119764726,1194.72092085658
"20",1,26,6915.01558450339,6934.93191621904,7195.75042935617,7492.35941732944,5836.920948,6853.640142,6729.708619,6491.784602,1078.09463650339,81.2917742190448,466.041810356171,1000.57481532944
"21",1,27,7240.01631696378,7074.86488848417,7335.2542795255,7631.19939728178,5851.961292,7012.343503,6972.804691,6869.468521,1388.05502496378,62.5213854841704,362.449588525499,761.730876281782
"22",1,28,7376.01662347028,7425.82154622478,7725.36299282632,8066.63461538029,6279.266725,7341.554615,7135.36841,7115.929381,1096.74989847029,84.2669312247808,589.994582826318,950.705234380288
"23",1,29,7454.01679926078,7580.65595530692,7901.36111187371,8267.174579516,6087.94878,7458.717115,7444.200654,7257.598948,1366.06801926078,121.938840306915,457.160457873705,1009.575631516
"24",1,3,7716.01738973654,7575.47405970406,7637.75280652168,7701.69909451166,8017.956534,7605.652575,7456.128148,7419.889563,-301.93914426346,-30.1785152959428,181.624658521679,281.809531511661
"25",1,30,7620.01717337901,7658.72791515621,7978.77052522634,8343.71933808673,6049.784903,7517.119989,7540.06915,7543.495816,1570.23227037901,141.607926156205,438.701375226338,800.223522086727
"26",1,31,7152.01611863605,7799.28522414261,8091.71882818566,8424.25366425006,6192.027208,7680.31825,7594.765574,7634.757603,959.988910636047,118.966974142614,496.95325418566,789.49606125006
"27",1,32,7156.01612765094,7313.14061230933,7580.54748299083,7884.41298356376,6050.67722,7215.059318,7758.989551,7690.310273,1105.33890765094,98.0812943093279,-178.44206800917,194.102710563761
"28",1,33,7000.01577606996,7294.47212748116,7526.56843462056,7789.20863313987,6250.160922,7214.73958,7290.046305,7849.059352,749.854854069956,79.7325474811596,236.522129620557,-59.8507188601352
