"","age5","county","name","tp10","tp11","tp12","tp13","Cindy2010","Cindy2011","Cindy2012","Cindy2013","deaths2011","deaths2012","deaths2013","Cdeaths2011","Cdeaths2012","Cdeaths2013","netmig11","netmig12","netmig13","Cnetmig2011","age_label"
"1","1",1,"Adams",37607.084755809,36864.4460914651,37114.8392824353,37364.4964383687,39459.075418,37410.789075,36807.54689,36590.935578,46,52,23,46.915441033,45.282731648,45.50242636,-66.2406499854302,-83.3207795249655,-95.6529271752818,285,"0 to 4"
"2","1",53,"Hinsdale",58.1027811366385,51.3814768507313,48.9449613191708,49.4061313835481,46.280739278,49.431465468,41.107311048,39.032594307,0,0,0,0.049407624,0.044052585,0.055547243,-0.920104589395823,-2.60696300328817,0.153350764899304,4,"0 to 4"
"3","1",107,"Routt",1290.33938851222,1237.42478441076,1241.51549056985,1248.28277357874,1363.6805536,1236.6710594,1185.9791676,1155.7562601,1,1,1,1.51674235,1.44911182,1.387678541,-5.47278609128915,-0.977768234672007,1.42591200889668,137,"0 to 4"
"4","1",71,"Las.Animas",850.269305772231,840.101420838269,839.602101513045,853.99819345972,919.14735529,790.00238245,772.44896452,699.65533248,2,1,0,0.973590199,0.966127436,0.884272305,9.60998284695666,1.36018218756925,16.6178780307374,63,"0 to 4"
"5","1",119,"Teller",1087.80984531237,1035.62697463549,1036.84689639936,1035.42718538003,1069.78911883,1057.40626841,991.44589781,951.66622926,0,0,0,1.37952847,1.140060809,1.12356552,-7.30630290248534,0.775890573715257,-3.20054861657544,70,"0 to 4"
"6","1",14,"Broomfield",3913.55801351183,3765.10952487818,3810.28532130957,3858.47363663018,3568.9686093,3796.8083721,3642.0969674,3548.3822981,4,2,2,4.689558644,4.512824971,4.424015302,20.0309385754275,22.0907519311719,25.0162839436784,7,"0 to 4"
"7","1",121,"Washington",274.944341372913,258.098155903887,253.910545907403,256.883836601729,231.77112488,261.5760696,242.84127547,233.74716224,0,0,0,0.301255935,0.28168912,0.264131238,-0.479145511282791,-3.65348452353128,3.35401857897953,9,"0 to 4"
"8","1",103,"Rio.Blanco",482.759722640941,449.554196129997,454.868681561685,456.622901226574,536.54897608,502.85471271,473.63471373,454.60239128,1,1,0,0.665827817,0.547810781,0.544292065,0.958617794132105,-0.380141539052387,-0.454517057562636,29,"0 to 4"
"9","1",37,"Eagle",3875.47887215734,3853.10070879432,3941.46092166882,3974.32856764447,4323.7805662,3678.230076,3590.8360365,3449.8603314,4,4,3,4.444010074,4.480715216,4.123257482,90.8067825386526,43.5296005185287,-3.55539783484672,258,"0 to 4"
"10","1",79,"Mineral",21.3049450549451,19.4765840220386,19.5665110056053,19.4024309644606,19.170860461,22.572242395,27.228848837,30.500900185,0,0,0,0.030969119,0.036017493,0.033554587,0,0.069649860035112,-0.182830882592169,4,"0 to 4"
"11","1",81,"Moffat",1071.61190355514,1030.96024549914,1028.87976476327,1034.03497085908,1121.7858969,996.71753291,918.23260001,898.9377237,3,0,0,1.225073308,1.10138604,1.159970494,-8.94451091507713,-5.73091417912127,-2.80297048636149,19,"0 to 4"
"12","1",99,"Prowers",962.230363984674,968.201150307215,1016.61378695726,1067.95333133713,921.59879462,909.52769944,899.12180037,876.14680714,2,3,1,1.053941711,1.158717962,1.083305231,21.178554288,43.19310414,46.537086396,38,"0 to 4"
"13","1",117,"Summit",1539.67092845187,1602.6757417687,1620.53171829341,1553.81831320568,1715.6959477,1502.6519609,1504.0774978,1437.32647,1,1,0,1.932137614,1.945479114,1.734243446,109.334280275798,3.37611791825504,-77.1313093632114,122,"0 to 4"
"14","1",39,"Elbert",1126.34268182015,1062.2965905893,1073.1804095676,1094.39164085447,998.49140508,1052.14978813,1005.62952141,975.46526924,1,0,0,1.242429436,1.194073702,1.130453668,4.65809151835628,8.38456473304131,20.1850632462106,316,"0 to 4"
"15","1",41,"El.Paso",45337.5663081637,45328.3406911314,45818.616813471,46305.0914447777,46039.550849,45777.037211,45956.237426,46075.241927,72,62,32,59.150278063,58.72338276,58.253376223,119.759029611863,87.368324600957,99.6930897151695,609,"0 to 4"
"16","1",95,"Phillips",280.748489594988,283.965336049161,284.290611348187,283.763294626564,295.39596384,264.3779291,260.12986973,249.06554639,0,0,2,0.32941245,0.341081934,0.292332616,-0.0346639508388744,0,-0.00616248014913322,7,"0 to 4"
"17","1",113,"San.Miguel",452.661617527725,453.261539969983,455.763286077325,458.348114316559,475.72177555,453.5387015,426.18522621,398.56161708,0,0,0,0.539369163,0.506590031,0.472883959,0.0145067806316241,0.0107820666856668,0.00607716485919385,58,"0 to 4"
"18","1",35,"Douglas",21631.2260127263,20516.0711204819,20782.1097598119,21090.2963460418,20275.519572,20460.501104,19363.598151,18677.341304,16,19,4,24.628000013,23.490475993,22.759137095,71.0001284968941,95.6721976416243,143.684913697503,-148,"0 to 4"
"19","1",3,"Alamosa",1200.47402135231,1138.2923255754,1163.11451156407,1158.30623403935,1241.3413961,1209.6918788,1180.4919026,1154.3273234,1,1,0,1.532530757,1.417726681,1.433332395,-20.4052174237056,17.9066193718233,-10.2026087118528,8,"0 to 4"
"20","1",55,"Huerfano",273.61671686747,283.581621647203,285.469004866348,281.743814006325,242.64183094,265.76012572,278.45867183,263.76935792,1,1,0,0.316406744,0.367784885,0.325624373,-3.3270081955956,3.92586967080281,-2.06274508126928,31,"0 to 4"
